column,psi,ks,gini
target,2.3699310153420434,0.411481248690551,-0.17703750261889795
total_suministros_t4,3.4677633332249918,0.3104965430546826,-0.3790069138906348
total_pacientes_unicos_t4,3.710958036600586,0.33375235700817096,-0.3324952859836581
share_tipo_medicamento_t4,14.52083546813247,0.8527131782945736,0.7054263565891472
share_tipo_procedimiento_t4,3.991171913901537,0.4540121516865703,-0.09197569662685945
share_tipo_dispositivo_t4,0.4341975138177809,0.2069976953697884,-0.5860046092604232
share_tipo_nutricional_t4,3.829427833464347,0.40791954745443115,-0.1841609050911377
share_tipo_servicio_comp_t4,14.219865719276576,0.8644458411900272,0.7288916823800544
share_regimen_contributivo_t4,11.1380665150325,0.7676513723025351,0.5353027446050702
share_regimen_subsidiado_t4,11.021098836375922,0.7676513723025351,0.5353027446050702
share_regimen_otro_t4,0.0,0.0,-1.0
hhi_et_t4,12.04137963858797,0.85690341504295,0.7138068300859
u_nuevos_pref_eps_t4,0.5926922509328092,0.24890006285355123,-0.5021998742928975
u_nuevos_pref_eas_t4,1.8185491766173056,0.2524617640896711,-0.49507647182065784
u_nuevos_pref_ess_t4,10.700343570559925,0.7288916823800544,0.45778336476010884
u_nuevos_pref_ccf_t4,7.571971334355956,0.6010894615545779,0.20217892310915575
